AS: 2 | n_node_degree: 10
AS: 3 | n_node_degree: 25
AS: 5 | n_node_degree: 14
AS: 10 | n_node_degree: 2
AS: 12 | n_node_degree: 6
AS: 13 | n_node_degree: 2
AS: 24 | n_node_degree: 8
AS: 32 | n_node_degree: 4
AS: 34 | n_node_degree: 6
AS: 35 | n_node_degree: 3
AS: 42 | n_node_degree: 830
AS: 47 | n_node_degree: 4
AS: 55 | n_node_degree: 5
AS: 57 | n_node_degree: 28
AS: 59 | n_node_degree: 5
AS: 62 | n_node_degree: 61
AS: 64 | n_node_degree: 2
AS: 70 | n_node_degree: 4
AS: 71 | n_node_degree: 8
AS: 72 | n_node_degree: 24
AS: 77 | n_node_degree: 14
AS: 81 | n_node_degree: 32
AS: 88 | n_node_degree: 5
AS: 101 | n_node_degree: 90
AS: 103 | n_node_degree: 6
AS: 112 | n_node_degree: 72
AS: 132 | n_node_degree: 1
AS: 137 | n_node_degree: 41
AS: 149 | n_node_degree: 3
AS: 154 | n_node_degree: 1
AS: 160 | n_node_degree: 7
AS: 166 | n_node_degree: 3
AS: 173 | n_node_degree: 7
AS: 174 | n_node_degree: 5366
AS: 194 | n_node_degree: 18
AS: 195 | n_node_degree: 9
AS: 206 | n_node_degree: 7
AS: 209 | n_node_degree: 1892
AS: 210 | n_node_degree: 12
AS: 224 | n_node_degree: 32
AS: 226 | n_node_degree: 66
AS: 237 | n_node_degree: 47
AS: 250 | n_node_degree: 7
AS: 260 | n_node_degree: 520
AS: 270 | n_node_degree: 12
AS: 271 | n_node_degree: 21
AS: 276 | n_node_degree: 17
AS: 278 | n_node_degree: 11
AS: 286 | n_node_degree: 730
AS: 293 | n_node_degree: 144
AS: 297 | n_node_degree: 17
AS: 302 | n_node_degree: 10
AS: 306 | n_node_degree: 51
AS: 309 | n_node_degree: 1
AS: 310 | n_node_degree: 1
AS: 311 | n_node_degree: 1
AS: 313 | n_node_degree: 1
AS: 329 | n_node_degree: 2
AS: 345 | n_node_degree: 2
AS: 367 | n_node_degree: 12
AS: 376 | n_node_degree: 29
AS: 378 | n_node_degree: 3
AS: 385 | n_node_degree: 2
AS: 400 | n_node_degree: 3
AS: 493 | n_node_degree: 1
AS: 495 | n_node_degree: 1
AS: 513 | n_node_degree: 48
AS: 531 | n_node_degree: 1
AS: 549 | n_node_degree: 23
AS: 553 | n_node_degree: 790
AS: 557 | n_node_degree: 8
AS: 558 | n_node_degree: 9
AS: 559 | n_node_degree: 67
AS: 567 | n_node_degree: 9
AS: 577 | n_node_degree: 297
AS: 600 | n_node_degree: 65
AS: 603 | n_node_degree: 8
AS: 615 | n_node_degree: 1
AS: 637 | n_node_degree: 4
AS: 668 | n_node_degree: 27
AS: 670 | n_node_degree: 1
AS: 671 | n_node_degree: 1
AS: 672 | n_node_degree: 1
AS: 673 | n_node_degree: 1
AS: 680 | n_node_degree: 362
AS: 681 | n_node_degree: 2
AS: 684 | n_node_degree: 2
AS: 701 | n_node_degree: 1234
AS: 702 | n_node_degree: 287
AS: 703 | n_node_degree: 105
AS: 706 | n_node_degree: 3
AS: 714 | n_node_degree: 155
AS: 715 | n_node_degree: 4
AS: 719 | n_node_degree: 47
AS: 721 | n_node_degree: 7
AS: 724 | n_node_degree: 3
