2.4 Extra Credit Result
----------------------------------------------
TABLE 1 - SORTING BASED ON SIZE
Rank | AS# | AS name | AS degree | #s ASes | IP Prefix | IPs | Percent ASes | IP Prefix | Ips
1 | 174 | Org_Name | 5366 | 50818 | 630799 | 2940723933.0 | 0.8528942819260528 | 0.8650253830773998 | 0.7447713171069129
2 | 3356 | Org_Name | 4892 | 50620 | 632857 | 2982967491.0 | 0.8495711864122317 | 0.8678475534333663 | 0.7554699719442088
3 | 1299 | Org_Name | 1608 | 48814 | 627540 | 2974419396.0 | 0.8192605273316215 | 0.8605562610219603 | 0.7533050710160859
4 | 21320 | Org_Name | 59 | 44556 | 576893 | 2686912808.0 | 0.7477971904737929 | 0.79110316966208 | 0.6804908031350367
5 | 20965 | Org_Name | 102 | 44555 | 576892 | 2686910760.0 | 0.747780407163117 | 0.7911017983450946 | 0.6804902844560677
6 | 2914 | Org_Name | 1649 | 43068 | 573485 | 2599834860.0 | 0.7228236241881073 | 0.7864297213758149 | 0.6584373361995101
7 | 6453 | Org_Name | 719 | 42132 | 579207 | 2735813491.0 | 0.7071144453954987 | 0.7942763971663106 | 0.6928754495401767
8 | 3257 | Org_Name | 1566 | 42120 | 566619 | 2433081047.0 | 0.7069130456673883 | 0.7770142589540142 | 0.6162050628647218
9 | 5511 | Org_Name | 163 | 40868 | 553878 | 2529540574.0 | 0.6859003407012068 | 0.7595423092429507 | 0.6406345198991369
10 | 3491 | Org_Name | 602 | 39810 | 548313 | 2480087456.0 | 0.6681435980061426 | 0.7519109302191639 | 0.6281099631345276
11 | 6939 | Org_Name | 6512 | 39196 | 540804 | 2429643974.0 | 0.6578386452511622 | 0.7416137109757469 | 0.6153345855796979
12 | 209 | Org_Name | 1892 | 37858 | 516392 | 2251994038.0 | 0.6353825755668563 | 0.7081371207280047 | 0.5703427468919693
13 | 2603 | Org_Name | 712 | 37846 | 502339 | 2147195779.0 | 0.635181175838746 | 0.688866003132088 | 0.5438014124572481
14 | 701 | Org_Name | 1234 | 37786 | 520964 | 2454016293.0 | 0.6341741771981941 | 0.7144067819852831 | 0.6215071487090978
15 | 6762 | Org_Name | 412 | 36560 | 506263 | 2156897623.0 | 0.6135978383095849 | 0.6942470509828229 | 0.5462585132592519


----------------------------------------------

TABLE 2 - SORTING BASED ON IP PERCENTAGE
Rank | AS# | AS name | AS degree | #s ASes | IP Prefix | IPs | Percent ASes | IP Prefix | Ips
1 | 3356 | Org_Name | 4892 | 50620 | 632857 | 2982967491.0 | 0.8495711864122317 | 0.8678475534333663 | 0.7554699719442088
2 | 1299 | Org_Name | 1608 | 48814 | 627540 | 2974419396.0 | 0.8192605273316215 | 0.8605562610219603 | 0.7533050710160859
3 | 174 | Org_Name | 5366 | 50818 | 630799 | 2940723933.0 | 0.8528942819260528 | 0.8650253830773998 | 0.7447713171069129
4 | 6453 | Org_Name | 719 | 42132 | 579207 | 2735813491.0 | 0.7071144453954987 | 0.7942763971663106 | 0.6928754495401767
5 | 21320 | Org_Name | 59 | 44556 | 576893 | 2686912808.0 | 0.7477971904737929 | 0.79110316966208 | 0.6804908031350367
6 | 20965 | Org_Name | 102 | 44555 | 576892 | 2686910760.0 | 0.747780407163117 | 0.7911017983450946 | 0.6804902844560677
7 | 2914 | Org_Name | 1649 | 43068 | 573485 | 2599834860.0 | 0.7228236241881073 | 0.7864297213758149 | 0.6584373361995101
8 | 5511 | Org_Name | 163 | 40868 | 553878 | 2529540574.0 | 0.6859003407012068 | 0.7595423092429507 | 0.6406345198991369
9 | 3491 | Org_Name | 602 | 39810 | 548313 | 2480087456.0 | 0.6681435980061426 | 0.7519109302191639 | 0.6281099631345276
10 | 701 | Org_Name | 1234 | 37786 | 520964 | 2454016293.0 | 0.6341741771981941 | 0.7144067819852831 | 0.6215071487090978
11 | 3257 | Org_Name | 1566 | 42120 | 566619 | 2433081047.0 | 0.7069130456673883 | 0.7770142589540142 | 0.6162050628647218
12 | 6939 | Org_Name | 6512 | 39196 | 540804 | 2429643974.0 | 0.6578386452511622 | 0.7416137109757469 | 0.6153345855796979
13 | 1239 | Org_Name | 451 | 35984 | 519689 | 2384943366.0 | 0.6039306513602873 | 0.7126583528288898 | 0.6040136552733711
14 | 209 | Org_Name | 1892 | 37858 | 516392 | 2251994038.0 | 0.6353825755668563 | 0.7081371207280047 | 0.5703427468919693
15 | 4766 | Org_Name | 524 | 34808 | 492577 | 2235850074.0 | 0.5841934780054714 | 0.6754792067205503 | 0.5662541069497151
